==26498== NVPROF is profiling process 26498, command: ./CUPTI_sender 0 1 10000 1000
==26498== Profiling application: ./CUPTI_sender 0 1 10000 1000
==26498== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","SrcMemType","DstMemType","Device","Context","Stream","Src Dev","Src Ctx","Dst Dev","Dst Ctx","Name","Correlation_ID"
s,us,,,,,,,,B,B,KB,GB/s,,,,,,,,,,,
3.837087,3.104000,,,,,,,,,,39.062500,12.001580,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",1014
3.838228,3.104000,,,,,,,,,,39.062500,12.001580,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",1017
3.839367,3.104000,,,,,,,,,,39.062500,12.001580,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",1020
3.840508,3.104000,,,,,,,,,,39.062500,12.001580,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",1023
3.841625,3.104000,,,,,,,,,,39.062500,12.001580,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",1026
3.842751,3.104000,,,,,,,,,,39.062500,12.001580,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",1029
3.843887,3.104000,,,,,,,,,,39.062500,12.001580,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",1032
3.845037,3.104000,,,,,,,,,,39.062500,12.001580,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",1035
3.846185,3.072000,,,,,,,,,,39.062500,12.126596,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",1038
3.847325,3.104000,,,,,,,,,,39.062500,12.001580,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",1041
