==287810== NVPROF is profiling process 287810, command: ./CUPTI_sender 0 1 102400000 10
Current TSC: 581317798038136
2.343522,5.629994,,,,,,,,,,390.625000,67.756684,"Device","Device","Tesla V100-SXM2-16GB (1)","3","29","Tesla V100-SXM2-16GB (1)","3","Tesla V100-SXM2-16GB (0)","2","[CUDA memcpy PtoP]",296
2.349184,5.629994,,,,,,,,,,390.625000,67.756684,"Device","Device","Tesla V100-SXM2-16GB (1)","3","29","Tesla V100-SXM2-16GB (1)","3","Tesla V100-SXM2-16GB (0)","2","[CUDA memcpy PtoP]",298
2.354995,5.629962,,,,,,,,,,390.625000,67.757070,"Device","Device","Tesla V100-SXM2-16GB (1)","3","29","Tesla V100-SXM2-16GB (1)","3","Tesla V100-SXM2-16GB (0)","2","[CUDA memcpy PtoP]",302
2.360655,5.629995,,,,,,,,,,390.625000,67.756672,"Device","Device","Tesla V100-SXM2-16GB (1)","3","29","Tesla V100-SXM2-16GB (1)","3","Tesla V100-SXM2-16GB (0)","2","[CUDA memcpy PtoP]",304
2.366401,5.630122,,,,,,,,,,390.625000,67.755144,"Device","Device","Tesla V100-SXM2-16GB (1)","3","29","Tesla V100-SXM2-16GB (1)","3","Tesla V100-SXM2-16GB (0)","2","[CUDA memcpy PtoP]",307
2.372143,5.629994,,,,,,,,,,390.625000,67.756684,"Device","Device","Tesla V100-SXM2-16GB (1)","3","29","Tesla V100-SXM2-16GB (1)","3","Tesla V100-SXM2-16GB (0)","2","[CUDA memcpy PtoP]",310
2.377809,5.629994,,,,,,,,,,390.625000,67.756684,"Device","Device","Tesla V100-SXM2-16GB (1)","3","29","Tesla V100-SXM2-16GB (1)","3","Tesla V100-SXM2-16GB (0)","2","[CUDA memcpy PtoP]",312
2.383547,5.630090,,,,,,,,,,390.625000,67.755529,"Device","Device","Tesla V100-SXM2-16GB (1)","3","29","Tesla V100-SXM2-16GB (1)","3","Tesla V100-SXM2-16GB (0)","2","[CUDA memcpy PtoP]",315
2.389369,5.630218,,,,,,,,,,390.625000,67.753989,"Device","Device","Tesla V100-SXM2-16GB (1)","3","29","Tesla V100-SXM2-16GB (1)","3","Tesla V100-SXM2-16GB (0)","2","[CUDA memcpy PtoP]",319
2.395190,5.629962,,,,,,,,,,390.625000,67.757070,"Device","Device","Tesla V100-SXM2-16GB (1)","3","29","Tesla V100-SXM2-16GB (1)","3","Tesla V100-SXM2-16GB (0)","2","[CUDA memcpy PtoP]",323
2.400929,5.630251,,,,,,,,,,390.625000,67.753592,"Device","Device","Tesla V100-SXM2-16GB (1)","3","29","Tesla V100-SXM2-16GB (1)","3","Tesla V100-SXM2-16GB (0)","2","[CUDA memcpy PtoP]",326
